norm_state,state_mean_enrol
Andaman & Nicobar,4.8354430379746836
Andhra Pradesh,1238.3095238095239
Arunachal Pradesh,48.24390243902439
Assam,2461.294117647059
Bihar,5900.034090909091
Chandigarh,26.5
Chhattisgarh,1001.0
Dadra & Nagar Haveli and Daman & Diu,19.91358024691358
Delhi,983.1058823529412
Goa,24.839506172839506
Gujarat,2923.964705882353
Haryana,990.797619047619
Himachal Pradesh,176.17073170731706
Jammu and Kashmir,451.71084337349396
Jharkhand,1591.547619047619
Karnataka,2169.9176470588236
Kerala,731.4578313253012
Ladakh,5.884615384615385
Lakshadweep,2.2933333333333334
Madhya Pradesh,4707.114942528736
Maharashtra,3581.0114942528735
Manipur,142.80722891566265
Meghalaya,1193.6444444444444
Mizoram,66.21951219512195
Nagaland,183.56626506024097
Odisha,1232.0481927710844
Puducherry,31.402439024390244
Punjab,802.9411764705883
Rajasthan,3537.535714285714
Sikkim,26.1625
Tamil Nadu,2200.1428571428573
Telangana,1391.6506024096386
Tripura,109.62650602409639
Uttar Pradesh,10246.613636363636
Uttarakhand,371.67058823529413
West Bengal,3887.75
West Bengli,0.0
