date,state,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_18_greater,bio_age_5_17,bio_age_18_greater,total_enrolments,demo_total,bio_total,total_updates,total_system_load,update_to_enrolment_ratio,bio_to_demo_ratio,population,load_per_million_pop,day_name
2025-03-01,Andaman & Nicobar,0.0,0.0,0.0,126.0,0.0,1612.0,0.0,0.0,126.0,1612.0,1738.0,1738.0,1738.0,12.692913385826772,397000,4377.833753148615,Saturday
2025-03-01,Andhra Pradesh,0.0,0.0,0.0,48600.0,0.0,243777.0,0.0,0.0,48600.0,243777.0,292377.0,292377.0,292377.0,5.015884446822082,49577103,5897.420024723913,Saturday
2025-03-01,Arunachal Pradesh,0.0,0.0,0.0,852.0,0.0,2953.0,0.0,0.0,852.0,2953.0,3805.0,3805.0,3805.0,3.4618991793669402,1570458,2422.8600828548106,Saturday
2025-03-01,Assam,0.0,0.0,0.0,16692.0,0.0,59101.0,0.0,0.0,16692.0,59101.0,75793.0,75793.0,75793.0,3.540466063619481,34293000,2210.1595077712655,Saturday
2025-03-01,Bihar,0.0,0.0,0.0,95221.0,0.0,324179.0,0.0,0.0,95221.0,324179.0,419400.0,419400.0,419400.0,3.4044548528701353,121243000,3459.168776754122,Saturday
2025-03-01,Chandigarh,0.0,0.0,0.0,1296.0,0.0,3053.0,0.0,0.0,1296.0,3053.0,4349.0,4349.0,4349.0,2.353893600616808,1158000,3755.6131260794473,Saturday
2025-03-01,Chhattisgarh,0.0,0.0,0.0,18699.0,0.0,37255.0,0.0,0.0,18699.0,37255.0,55954.0,55954.0,55954.0,1.9922459893048128,28724000,1947.9877454393538,Saturday
2025-03-01,Dadra & Nagar Haveli and Daman & Diu,0.0,0.0,0.0,136.0,0.0,1715.0,0.0,0.0,136.0,1715.0,1851.0,1851.0,1851.0,12.518248175182482,615000,3009.7560975609754,Saturday
2025-03-01,Delhi,0.0,0.0,0.0,24234.0,0.0,62172.0,0.0,0.0,24234.0,62172.0,86406.0,86406.0,86406.0,2.565380647823396,20667656,4180.735348023985,Saturday
2025-03-01,Goa,0.0,0.0,0.0,1223.0,0.0,4037.0,0.0,0.0,1223.0,4037.0,5260.0,5260.0,5260.0,3.298202614379085,1586250,3315.9968479117415,Saturday
2025-03-01,Gujarat,0.0,0.0,0.0,67041.0,0.0,167890.0,0.0,0.0,67041.0,167890.0,234931.0,234931.0,234931.0,2.5042510664956295,66750000,3519.565543071161,Saturday
2025-03-01,Haryana,0.0,0.0,0.0,20543.0,0.0,68047.0,0.0,0.0,20543.0,68047.0,88590.0,88590.0,88590.0,3.3122566199376946,28204000,3141.0438235711244,Saturday
2025-03-01,Himachal Pradesh,0.0,0.0,0.0,4687.0,0.0,23067.0,0.0,0.0,4687.0,23067.0,27754.0,27754.0,27754.0,4.920435153583618,7503000,3699.053711848594,Saturday
2025-03-01,Jammu and Kashmir,0.0,0.0,0.0,12688.0,0.0,35456.0,0.0,0.0,12688.0,35456.0,48144.0,48144.0,48144.0,2.794231223894712,14999397,3209.7290311070506,Saturday
